protocol,seed,depth,gradient_norm,direct_loss_drop,shuffled_loss_drop,existing_cosine,oracle_cosine,existing_sign_agreement,oracle_sign_agreement
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,4,2.672993422,0.007344273,-0.001659269,0.578729451,0.894740820,0.607910156,0.891113281
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,5,3.804018736,0.015026071,-0.003725752,0.496544629,0.892767608,0.562011719,0.890136719
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,5,3.625257492,0.013810252,-0.003976334,0.509366572,0.916089892,0.600097656,0.916503906
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,5,3.525748968,0.012929404,-0.003204272,0.526338339,0.883719981,0.585937500,0.917968750
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,5,3.589475632,0.013442462,-0.003521867,0.519211411,0.897517741,0.551269531,0.926269531
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,5,3.602771997,0.013520428,-0.003307531,0.511046827,0.917630732,0.575683594,0.900878906
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,5,3.641649723,0.013650085,-0.002968692,0.494021147,0.907269299,0.580566406,0.937988281
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,5,3.549934626,0.013170728,-0.003489252,0.535907686,0.905212700,0.607421875,0.922851562
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,5,3.612776041,0.013339161,-0.002772589,0.511341095,0.904327989,0.653320312,0.959960938
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,6,4.045637131,0.017259637,-0.003846930,0.566779613,0.917125285,0.573730469,0.959472656
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,6,4.157775879,0.018198490,-0.003509544,0.544096410,0.922585607,0.616699219,0.937988281
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,6,3.976412773,0.016785383,-0.003842866,0.568456769,0.926921427,0.604492188,0.954101562
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,6,3.998115301,0.016679680,-0.004736099,0.556432009,0.886247575,0.611816406,0.927246094
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,6,4.194616795,0.018528441,-0.004571915,0.550948322,0.905077398,0.581542969,0.938964844
