protocol,seed,depth,budget,learning_rate,arm,accuracy,test_weights_unchanged
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,least-squares-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,direct-terminal,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.01500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.01500000,least-squares-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.01500000,direct-terminal,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.03500000,existing-post-synaptic,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.03500000,least-squares-post-synaptic,0.18750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.03500000,direct-terminal,0.24375001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.03500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.03500000,least-squares-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.03500000,direct-terminal,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.03500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.03500000,least-squares-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,60,0.03500000,direct-terminal,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.01500000,existing-post-synaptic,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.01500000,least-squares-post-synaptic,0.18750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.01500000,direct-terminal,0.24375001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.01500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.01500000,least-squares-post-synaptic,0.16875000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.01500000,direct-terminal,0.37500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.01500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.01500000,least-squares-post-synaptic,0.16875000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.01500000,direct-terminal,0.37500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.03500000,existing-post-synaptic,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.03500000,least-squares-post-synaptic,1.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,240,0.03500000,direct-terminal,1.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.03500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.03500000,least-squares-post-synaptic,0.89375001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,240,0.03500000,direct-terminal,1.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.03500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.03500000,least-squares-post-synaptic,0.94375002,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,240,0.03500000,direct-terminal,1.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,3,60,0.01500000,existing-post-synaptic,0.34375000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,3,60,0.01500000,least-squares-post-synaptic,0.34375000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,3,60,0.01500000,direct-terminal,0.34375000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,3,60,0.01500000,existing-post-synaptic,0.41874999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,3,60,0.01500000,least-squares-post-synaptic,0.41874999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,3,60,0.01500000,direct-terminal,0.41874999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,3,60,0.01500000,existing-post-synaptic,0.33750001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,3,60,0.01500000,least-squares-post-synaptic,0.33750001,true
