variant,n_states,connectivity,seed,depth,budget,learning_rate,temperature,arm,accuracy,measured_nnz,test_weights_unchanged
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.035000,soft,direct-terminal,0.710000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.035000,2.0000,direct-terminal,0.637500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.035000,1.0000,direct-terminal,0.710000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.035000,hard,direct-terminal,0.522500,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.035000,soft,direct-terminal,0.685000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.035000,2.0000,direct-terminal,0.640000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.035000,1.0000,direct-terminal,0.640000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.035000,hard,direct-terminal,0.580000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.035000,soft,direct-terminal,0.602500,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.035000,2.0000,direct-terminal,0.685000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.035000,1.0000,direct-terminal,0.685000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.035000,hard,direct-terminal,0.685000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.035000,soft,direct-terminal,0.660000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.035000,2.0000,direct-terminal,0.665000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.035000,1.0000,direct-terminal,0.515000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.035000,hard,direct-terminal,0.532500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.035000,soft,direct-terminal,0.645000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.035000,2.0000,direct-terminal,0.662500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.035000,1.0000,direct-terminal,0.592500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.035000,hard,direct-terminal,0.522500,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.035000,soft,direct-terminal,0.500000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.035000,2.0000,direct-terminal,0.652500,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.035000,1.0000,direct-terminal,0.515000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.035000,hard,direct-terminal,0.480000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.070000,soft,direct-terminal,0.597500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.070000,2.0000,direct-terminal,0.615000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.070000,1.0000,direct-terminal,0.540000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,240,0.070000,hard,direct-terminal,0.470000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.070000,soft,direct-terminal,0.695000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.070000,2.0000,direct-terminal,0.662500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.070000,1.0000,direct-terminal,0.612500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,240,0.070000,hard,direct-terminal,0.547500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.070000,soft,direct-terminal,0.577500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.070000,2.0000,direct-terminal,0.637500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.070000,1.0000,direct-terminal,0.615000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,240,0.070000,hard,direct-terminal,0.545000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.070000,soft,direct-terminal,0.887500,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.070000,2.0000,direct-terminal,0.775000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.070000,1.0000,direct-terminal,0.775000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,240,0.070000,hard,direct-terminal,0.580000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.070000,soft,direct-terminal,0.667500,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.070000,2.0000,direct-terminal,0.667500,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.070000,1.0000,direct-terminal,0.612500,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,240,0.070000,hard,direct-terminal,0.612500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.070000,soft,direct-terminal,0.690000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.070000,2.0000,direct-terminal,0.622500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.070000,1.0000,direct-terminal,0.622500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,240,0.070000,hard,direct-terminal,0.485000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.070000,soft,direct-terminal,0.645000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.070000,2.0000,direct-terminal,0.662500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.070000,1.0000,direct-terminal,0.592500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,240,0.070000,hard,direct-terminal,0.592500,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.070000,soft,direct-terminal,0.580000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.070000,2.0000,direct-terminal,0.517500,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.070000,1.0000,direct-terminal,0.580000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,240,0.070000,hard,direct-terminal,0.560000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.035000,hard,direct-terminal,0.607500,32,true
