variant,n_states,connectivity,seed,depth,budget,learning_rate,temperature,arm,accuracy,measured_nnz,test_weights_unchanged
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,soft,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,2.0000,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,hard,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,2.0000,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,soft,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,2.0000,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,hard,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,2.0000,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,soft,privileged-intermediate-target,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,2.0000,privileged-intermediate-target,0.453125,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,hard,privileged-intermediate-target,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,soft,shuffled-label,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,2.0000,shuffled-label,0.281250,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,hard,shuffled-label,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,soft,privileged-intermediate-target,0.531250,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,2.0000,privileged-intermediate-target,0.531250,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,hard,privileged-intermediate-target,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,soft,shuffled-label,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,2.0000,shuffled-label,0.468750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,hard,shuffled-label,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,soft,privileged-intermediate-target,0.234375,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,2.0000,privileged-intermediate-target,0.343750,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,hard,privileged-intermediate-target,0.093750,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,2.0000,shuffled-label,0.109375,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,soft,privileged-intermediate-target,0.296875,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,2.0000,privileged-intermediate-target,0.281250,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,hard,privileged-intermediate-target,0.062500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,2.0000,shuffled-label,0.093750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,soft,privileged-intermediate-target,0.203125,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,2.0000,privileged-intermediate-target,0.187500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,hard,privileged-intermediate-target,0.312500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,soft,shuffled-label,0.375000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,2.0000,shuffled-label,0.250000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,hard,shuffled-label,0.578125,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,soft,privileged-intermediate-target,0.343750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,2.0000,privileged-intermediate-target,0.265625,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,hard,privileged-intermediate-target,0.343750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,soft,shuffled-label,0.234375,32,true
