protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,742ca320b1d0f82b,2,1.385562897,0.002099061,-0.000327913,0.001049983,-0.000162952,0.571573317,0.571573317,0.000000061,0.000000046,0.491943359,0.630126953,0.047119141,0.471523225
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,92e43d7e329b743e,2,1.371710777,0.002050191,-0.000307103,0.001026495,-0.000154533,0.573972404,0.573972404,0.000000059,0.000000045,0.479980469,0.643066406,0.047363281,0.475078523
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,309fb6b7b26df055,2,1.317889690,0.001891681,-0.000264158,0.000947134,-0.000128255,0.559885085,0.559885085,0.000000059,0.000000042,0.489501953,0.636962891,0.050537109,0.479067802
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,5f5730cd33306c68,2,1.345430970,0.001968048,-0.000261473,0.000984465,-0.000128037,0.607240736,0.607240677,0.000000054,0.000000041,0.490234375,0.643066406,0.045898438,0.511407316
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,fd0e8a0ab4fae87f,2,1.396030903,0.002120495,-0.000314666,0.001060830,-0.000156315,0.578979433,0.578979373,0.000000059,0.000000046,0.488037109,0.637451172,0.046142578,0.472024232
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1bc60440344d6492,2,1.380553007,0.002070825,-0.000282689,0.001035435,-0.000137177,0.583380818,0.583380878,0.000000058,0.000000044,0.493652344,0.641601562,0.046386719,0.479506850
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,b9f99d99b517e0a9,2,1.372875810,0.002065341,-0.000297963,0.001033335,-0.000149892,0.571337640,0.571337640,0.000000060,0.000000045,0.491455078,0.634033203,0.047607422,0.475668043
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c7b117d736da5cbc,2,1.356508374,0.001991199,-0.000296407,0.000995866,-0.000149926,0.582347870,0.582347870,0.000000057,0.000000043,0.487792969,0.639648438,0.047363281,0.483620286
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,6668916cb7acd8d3,2,1.402282357,0.002150427,-0.000316580,0.001074946,-0.000155109,0.585539401,0.585539401,0.000000059,0.000000046,0.500488281,0.640136719,0.045410156,0.479341745
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,84206aaa377754e6,2,1.379191518,0.002074328,-0.000256518,0.001037768,-0.000128990,0.571019232,0.571019173,0.000000060,0.000000045,0.474121094,0.636718750,0.047363281,0.471344352
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,22dbe4e3b839d0fd,2,1.349264860,0.001967471,-0.000345510,0.000983307,-0.000175343,0.599641562,0.599641621,0.000000055,0.000000041,0.475097656,0.647949219,0.046386719,0.500252247
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,40937e39398c4d10,2,1.305123091,0.001844665,-0.000315064,0.000921749,-0.000158017,0.599804461,0.599804461,0.000000053,0.000000038,0.484130859,0.642333984,0.048095703,0.515710115
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ef4af876b956c927,2,1.349075675,0.001984902,-0.000268481,0.000993600,-0.000140507,0.579667568,0.579667568,0.000000058,0.000000043,0.489257812,0.642089844,0.047851562,0.487385780
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,0d02718c3a19453a,2,1.357931972,0.001982310,-0.000283702,0.000991581,-0.000143835,0.577796817,0.577796817,0.000000057,0.000000042,0.498291016,0.634033203,0.047607422,0.475247115
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ab35cbc5bbe3c151,2,1.301550150,0.001853885,-0.000308144,0.000926882,-0.000150956,0.592509806,0.592509806,0.000000055,0.000000039,0.489257812,0.639160156,0.048828125,0.515958607
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c9ed45033cb63d64,2,1.330178499,0.001930399,-0.000292043,0.000964981,-0.000149051,0.577827930,0.577827930,0.000000058,0.000000042,0.476562500,0.640136719,0.048828125,0.491852492
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,57a4df58bc78b97b,2,1.362539649,0.002024006,-0.000313979,0.001012617,-0.000155583,0.588702023,0.588702023,0.000000057,0.000000043,0.481689453,0.644287109,0.046630859,0.491441548
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,f65c58963dc3358e,2,1.276615500,0.001772567,-0.000297401,0.000886221,-0.000146027,0.623768926,0.623768926,0.000000050,0.000000035,0.489746094,0.647460938,0.047363281,0.548020601
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1417d22fbe95b1a5,2,1.339076996,0.001932323,-0.000290895,0.000966081,-0.000145814,0.610844851,0.610844851,0.000000053,0.000000039,0.479492188,0.649414062,0.045898438,0.511996686
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,d67529eb300e7c14,3,2.433755159,0.006035841,-0.002212848,0.002092919,-0.000734706,0.416181833,0.416181833,0.000000205,0.000000152,0.562988281,0.563964844,0.052734375,0.233517095
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,742ca320b1d0f82b,3,2.421714544,0.005973847,-0.002183293,0.002008593,-0.000739338,0.432399035,0.432399035,0.000000196,0.000000149,0.551757812,0.553710938,0.053466797,0.234409809
