seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
2511848558889390333,1,480,0.015000,2.0000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,1.0000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.5000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.2500,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.1000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,hard,direct-terminal,0.748000,true
4653197178990775568,1,480,0.015000,soft,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,2.0000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,1.0000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,0.5000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,0.2500,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,0.1000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,hard,direct-terminal,0.626000,true
17242871620025108775,1,480,0.015000,soft,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,2.0000,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,1.0000,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,0.5000,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,0.2500,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,0.1000,direct-terminal,0.614000,true
17242871620025108775,1,480,0.015000,hard,direct-terminal,0.614000,true
937440981967258938,1,480,0.015000,soft,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,2.0000,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,1.0000,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,0.5000,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,0.2500,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,0.1000,direct-terminal,0.639000,true
937440981967258938,1,480,0.015000,hard,direct-terminal,0.639000,true
12336995258221445457,1,480,0.015000,soft,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,2.0000,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,1.0000,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,0.5000,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,0.2500,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,0.1000,direct-terminal,0.641000,true
12336995258221445457,1,480,0.015000,hard,direct-terminal,0.641000,true
14550357526309911908,1,480,0.015000,soft,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,2.0000,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,1.0000,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,0.5000,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,0.2500,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,0.1000,direct-terminal,0.620000,true
14550357526309911908,1,480,0.015000,hard,direct-terminal,0.620000,true
6315413713023973755,1,480,0.015000,soft,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,2.0000,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,1.0000,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,0.5000,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,0.2500,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,0.1000,direct-terminal,0.615000,true
6315413713023973755,1,480,0.015000,hard,direct-terminal,0.615000,true
17752165541379257742,1,480,0.015000,soft,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,2.0000,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,1.0000,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,0.5000,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,0.2500,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,0.1000,direct-terminal,0.634000,true
17752165541379257742,1,480,0.015000,hard,direct-terminal,0.634000,true
1447861344392032677,1,480,0.015000,soft,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,2.0000,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,1.0000,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,0.5000,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,0.2500,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,0.1000,direct-terminal,0.483000,true
1447861344392032677,1,480,0.015000,hard,direct-terminal,0.483000,true
15453308257587330068,1,480,0.035000,soft,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,2.0000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,1.0000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,0.5000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,0.2500,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,0.1000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.035000,hard,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,soft,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,2.0000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,1.0000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,0.5000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,0.2500,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,0.1000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.035000,hard,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,soft,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,2.0000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,1.0000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,0.5000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,0.2500,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,0.1000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.035000,hard,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,soft,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,2.0000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,1.0000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,0.5000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,0.2500,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,0.1000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.035000,hard,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,soft,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,2.0000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,1.0000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,0.5000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,0.2500,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,0.1000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.035000,hard,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,soft,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,2.0000,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,1.0000,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,0.5000,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,0.2500,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,0.1000,direct-terminal,1.000000,true
18234668199544023167,1,480,0.035000,hard,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,soft,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,2.0000,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,1.0000,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,0.5000,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,0.2500,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,0.1000,direct-terminal,1.000000,true
2001287458986747026,1,480,0.035000,hard,direct-terminal,1.000000,true
13400911004452511913,1,480,0.035000,soft,direct-terminal,1.000000,true
