seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
10584648148176565310,1,240,0.035000,hard,privileged-intermediate-target,0.725000,true
10584648148176565310,1,240,0.035000,soft,shuffled-label,0.000000,true
10584648148176565310,1,240,0.035000,1.0000,shuffled-label,0.000000,true
10584648148176565310,1,240,0.035000,hard,shuffled-label,0.000000,true
15453308257587330068,2,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,2,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,2,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,2,240,0.035000,soft,shuffled-label,0.100000,true
15453308257587330068,2,240,0.035000,1.0000,shuffled-label,0.100000,true
15453308257587330068,2,240,0.035000,hard,shuffled-label,0.137500,true
8371249665055979563,2,240,0.035000,soft,privileged-intermediate-target,1.000000,true
8371249665055979563,2,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,2,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,2,240,0.035000,soft,shuffled-label,0.075000,true
8371249665055979563,2,240,0.035000,1.0000,shuffled-label,0.075000,true
8371249665055979563,2,240,0.035000,hard,shuffled-label,0.156250,true
10584648148176565310,2,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,2,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,2,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,2,240,0.035000,soft,shuffled-label,0.062500,true
10584648148176565310,2,240,0.035000,1.0000,shuffled-label,0.062500,true
10584648148176565310,2,240,0.035000,hard,shuffled-label,0.131250,true
15453308257587330068,3,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,3,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,3,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,3,240,0.035000,soft,shuffled-label,0.156250,true
15453308257587330068,3,240,0.035000,1.0000,shuffled-label,0.218750,true
15453308257587330068,3,240,0.035000,hard,shuffled-label,0.256250,true
8371249665055979563,3,240,0.035000,soft,privileged-intermediate-target,1.000000,true
8371249665055979563,3,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,3,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,3,240,0.035000,soft,shuffled-label,0.200000,true
8371249665055979563,3,240,0.035000,1.0000,shuffled-label,0.200000,true
8371249665055979563,3,240,0.035000,hard,shuffled-label,0.343750,true
10584648148176565310,3,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,3,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,3,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,3,240,0.035000,soft,shuffled-label,0.031250,true
10584648148176565310,3,240,0.035000,1.0000,shuffled-label,0.143750,true
10584648148176565310,3,240,0.035000,hard,shuffled-label,0.368750,true
15453308257587330068,4,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,4,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,4,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,4,240,0.035000,soft,shuffled-label,0.268750,true
15453308257587330068,4,240,0.035000,1.0000,shuffled-label,0.287500,true
15453308257587330068,4,240,0.035000,hard,shuffled-label,0.331250,true
8371249665055979563,4,240,0.035000,soft,privileged-intermediate-target,1.000000,true
8371249665055979563,4,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,4,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,4,240,0.035000,soft,shuffled-label,0.331250,true
8371249665055979563,4,240,0.035000,1.0000,shuffled-label,0.281250,true
8371249665055979563,4,240,0.035000,hard,shuffled-label,0.243750,true
10584648148176565310,4,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,4,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,4,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,4,240,0.035000,soft,shuffled-label,0.156250,true
10584648148176565310,4,240,0.035000,1.0000,shuffled-label,0.243750,true
10584648148176565310,4,240,0.035000,hard,shuffled-label,0.268750,true
15453308257587330068,5,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,5,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
