seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
15453308257587330068,1,soft,0.984254,0.000969,-0.000279,0.000969,-0.000279
15453308257587330068,1,2.0000,0.984254,0.000969,-0.000279,0.000099,-0.000026
15453308257587330068,1,1.0000,0.984254,0.000969,-0.000279,0.000182,-0.000059
15453308257587330068,1,0.5000,0.984254,0.000969,-0.000279,0.000260,-0.000110
15453308257587330068,1,0.2500,0.984254,0.000969,-0.000279,0.000123,-0.000062
15453308257587330068,1,0.1000,0.984254,0.000969,-0.000279,0.000001,-0.000000
15453308257587330068,1,hard,0.984254,0.000969,-0.000279,0.000000,0.000000
8371249665055979563,1,soft,0.984038,0.000968,-0.000281,0.000968,-0.000281
8371249665055979563,1,2.0000,0.984038,0.000968,-0.000281,0.000099,-0.000026
8371249665055979563,1,1.0000,0.984038,0.000968,-0.000281,0.000182,-0.000059
8371249665055979563,1,0.5000,0.984038,0.000968,-0.000281,0.000261,-0.000110
8371249665055979563,1,0.2500,0.984038,0.000968,-0.000281,0.000123,-0.000061
8371249665055979563,1,0.1000,0.984038,0.000968,-0.000281,0.000001,-0.000000
8371249665055979563,1,hard,0.984038,0.000968,-0.000281,0.000000,0.000000
10584648148176565310,1,soft,0.983653,0.000967,-0.000289,0.000967,-0.000289
10584648148176565310,1,2.0000,0.983653,0.000967,-0.000289,0.000098,-0.000026
10584648148176565310,1,1.0000,0.983653,0.000967,-0.000289,0.000182,-0.000061
10584648148176565310,1,0.5000,0.983653,0.000967,-0.000289,0.000261,-0.000117
10584648148176565310,1,0.2500,0.983653,0.000967,-0.000289,0.000124,-0.000066
10584648148176565310,1,0.1000,0.983653,0.000967,-0.000289,0.000001,-0.000001
10584648148176565310,1,hard,0.983653,0.000967,-0.000289,0.000000,0.000000
3503715438342828117,1,soft,0.983561,0.000967,-0.000301,0.000967,-0.000301
